"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","0","","","","","","Navigate To Health Center Page",""
"passed","Tue Jun 25 19:07:17 IST 2024","Tue Jun 25 19:07:42 IST 2024","25581","","","","","","Incorrect Password",""
"passed","Tue Jun 25 19:07:42 IST 2024","Tue Jun 25 19:08:06 IST 2024","23495","","","","","","Incorrect username",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","0","","","","","","Admin Settings",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","0","","","","","","Roles",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","0","","","","","","Security Dropdown",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","0","","","","","","COA Templates",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","5","","","","","","Help Dropdown",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","0","","","","","","Open Health Center Dropdown",""
"passed","Tue Jun 25 19:06:40 IST 2024","Tue Jun 25 19:07:17 IST 2024","36459","","","","","","Successful Login",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","16","","","","","","Profile Page",""
"passed","Tue Jun 25 19:08:06 IST 2024","Tue Jun 25 19:08:26 IST 2024","20347","","","","","","Forget Password",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","0","","","","","","Open Mappings Dropdown",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","17","","","","","","Account Settings Page",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","0","","","","","","About Page",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","17","","","","","","Transaction Mappings",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","35","","","","","","Account Dropdown",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","0","","","","","","MDO GL Codes",""
"skipped","Tue Jun 25 19:08:26 IST 2024","Tue Jun 25 19:08:26 IST 2024","16","","","","","","Users",""
